srno,freedomFighter,countriesVisited,booksPublished,sportsInterests,socialActivities,otherInformation
2493,No,,,,"Vice-President, Uttaranchal Devi Aapda Sahayata Samiti (an NGO working on helping disaster victims); Patron, (i) Bharatiya Vaishya Mahasangh, (ii) Delhi Seva Dham (Reg.) Ayodhya and (iii) Human Rights Association; President, Bal Kalyan Samiti (working on Shishu Mandir Schools); a patriotic, nationalist, R.S.S. leader","Ex-Member, National Executive, B.J.P.; Ex-working President, B.J.P., Uttarakhand; Ex-General Secretary (Organisation), B.J.P., Uttarakhand; Ex-General Secretary, B.J.P., Uttarakhand"
2494,No,"U.S.A., Germany, Japan, France, U.K., Canada, Singapore, Hong-Kong, Switzerland, Austria, Ireland, China, Thailand, Malaysia, Indonesia, Poland, Italy, Scotland, U.A.E., Qatar, Sri Lanka and the Carribean","Chandra Deepa, a detective novel in Tulu language under pen name K. N. Devanga; associated with Sambhashana Sandesha, a Sanskrit Monthly Magazine for the past 27 years",,"Mobilized funds from community members and Government of Karnataka for construction of samudaya bhavana (community hall) for the poor and the needy people in Mangaluru; helped poor students through the Devanga Samaja in Mangaluru, Puttur and Uppala; arranged financial assistance for students under the banner “Kalyana Nidhi”, “Vidya Nidhi”; and “Sanskara Nidhi” for the past 40 years; constructed community hall in Sri Bhagavathi Kshetra, Kumble, Kerala; supported construction of 28 houses for poor families at Kondevoor Nithyananda Yogashrama; Awarded, (i) Shree Devara Dasimayya Award 2010 by Gayathri Prathishtana Gulbarga, (ii) Samaja Rathna Award 2011 by Dakshina Bharatha Samskrutika Coordination Samithi, Mumbai, (iii) Shree Devaradasimayya Sahasramana Award 2011 by Karnataka Nekara Okkuta, Bengaluru, (iv) Nekara Rathna Award 2011 by Nekara Shikshanika and Samskrutika Prathishtana Regd. Bengaluru, (v) Sadhaka Rathna Rashtriya Prashasti 2012 by Kannada Kairali Patrika and Kannada Sangha, Delhi, (vi) Kempegowda Prashasti 2012 by Bangalore Mahanagara Palika, (vii) Sahukar Kumhipaki Smaraka Prashasti 2012 by Mapila Art Association Lovers, Mumbai, (viii) Mudrana Seva Ratna Prashasti by Basava Jnana Gurukula, Jamakhandi, Bagalakote 2014, (ix) Hoysala Ratna Prashasti 2015 by Shree Ramya Kalaranga, Hassan and (x) Rashtriya Vikasa Rathna Prashasti, Delhi, 2015","Publisher, Sambhashana Sandesha, a Sanskrit monthly magazine; Trustee, Nithyananda Yogashrama Trust Regd, Uppala, Kasaragodu, Kerala; SahaSanchalak, Nekara Prakoshta, B.J.P. Karnataka; Chief Patron, (i) Nekara Vani Monthly Magazine, Bengaluru and (ii) Devanga Jyothi Monthly Magazine, Bengaluru; Patron, Karnataka Rajya Mudranakara Sangha, Bengaluru; Mg. Director, Ankura Publications, Bengaluru; President, Kondevoor Sri Nithyananda Yogashrama, Bengaluru Branch; Vice President, Sri Bhagavathi Seva Trust, Mangaluru; Director, (i) Shree Cheerumba Bhagavathi Credit Co-operative Society Ltd, Bengaluru and (ii) Kuruhina Souhardha Co-operative Society Ltd, Bengaluru; Treasurer, Karnataka Rajya Devanga Sangha, Bengaluru; Formerly, Treasurer, Hindu Seva Pratishtana, Bengaluru for over 25 years; Technical Director, Digantha Mudrana Ltd, Mangaluru for over 25 years; Editor, ""Tuluvere Kedige"" Tulu Magazine Has been Honoured by famous personalities and various Trusts : (i) Shree Pejavara Matadheesharu, Udupi, (ii) Smt. Ramadevi, Ex-Governor, (iii) Shri Khurshid Alam Khan, Ex-Governor, (iv) Shri Rama Jois, Ex-Governor, (v) Shri B S Yediyurappa, Hon'ble Chief Minister, Karnataka Government, (vi) Shri D V Sadananda Gowda, Ex Chief Minister, Karnataka Government, (vii) Shri Jagadish Shettar, Ex Chief Minister, Karnataka Government, (viii) Shri Ravi Shankar Guruji, Art of Living, Bengaluru, (ix) Late Chi. Na. Mangala, Principal, NMKRV Womens College, Bengaluru, (x) Shri Ramananda Swamiji, Kolya, Mangaluru, (xi) Shri Shri Shri Dayananda Puri Mahaswamiji, Hemakoota, Hampi, (xii) Shri Shri Yogananda Saraswathi Swamiji, Kondevoor, Uppala, Kerala, (xiii) Shri Puthige Shrigalu, Udupi, (xiv) Shri Kashyapa Prathistana, Bengaluru, (xv) Shri Sutturu Deshikendra Mahaswamigalu, Mysuru, (xvi) Shri Shri Shankarabharathi Mahaswamigalu, K R Nagar, Mysuru, (xvii) Decennial celebration of ""Hampeya Nudi"" Monthly Magazine, Davanagere, (xviii) ""Moolundu Friends"" Mumbai, (xix) Shri Dhananjaya Kumar, Ex MP, Kannada Bhavana, Delhi, (xx) Shri Belimata Swamiji, Bengaluru, (xxi) Karavali Devanga Sangha, Bengaluru, (xxii) Kalanekara Samudaya Shaikshanika Samsthe, Bengaluru and (xxiii) Manila Shri Mounadasa Swamiji, Uppala, Kerala; Life Time Member, (i) Kannada Sahithya Parishat, Bengaluru, (ii) Samskrutha Bharati, Bengaluru, (iii) Laghu Udyoga Bharathi, Bengaluru, (iv) ISKCON Shree Krishna Temple, Bengaluru, (v) Karnataka Rajya Devanga Sangha, Bengaluru, (vi) Devanga Seva Samaja, Bengaluru, (vii) Kuruhinashetty Samaja, Bengaluru, (viii) Karnataka State Offset Printers Association, Bengaluru, (ix) City Institute, Bengaluru and (x) Karavali Devanga Sangha, Bengaluru"
2495,No,"U.S.A., England, France, the Netherlands, Italy, Switzerland, Belgium, Sierra Leon (Africa), Dubai (U.A.E.), Abu Dhabi (U.A.E.), Nepal, China, Myanmar, Sri Lanka, Australia, Canada, Singapore, Malaysia, Thailand, Luxemburg, Israel, Hong Kong, Cambodia, Japan, Mauritius, Spain, Austria, Germany, Poland, Hungary, Mongolia, South Korea, Maldives, Senegal, Qatar and Gabon (visited a total of 36 countries)","Books : (i) Beech Samar mein (Jail Diary, Speech in Legislative Assembly, compilation of published articles) and (ii) Lalu-Leela (compilation of disclosure of illegal property of Lalu family); Booklets : (i) Kya Bihar bhi Assam Banega?, (ii) Urdu Dvitiya Rajbhasha ka Virodh Kyon?, (iii) Aarakshan: Vibhedmoolak Nyaya; Samasya Ya Samaadhaan and (iv) Chara Chor: Khazana Chor",,Active member of R.S.S.; excursion and reading,"Student Movement: Elected Cabinet Member and General Secretary, Patna University Students Union, 1973-77; played an important role in the J.P. Movement of 1974; arrested five times during emergency and JP movement (confined for 24 months including 19 months in jail during emergency); was jailed for 5 days for the first time during the Student Movement, in 1972; was imprisoned in Bankipur, Phulwari, Buxar, Hazaribagh, Darbhanga, Bhagalpur and PMCH prisoners ward during his jail term; was jailed for 10 days during the Ram Janmabhoomi Movement; played an active role in anti-foreign infiltration Assam Movement; also played an active role in the movement in protest against making Urdu the second official language in Bihar and Uttar Pradesh; led the movement against foreign infiltration in Bihar; R.S.S.: Came in contact with R.S.S. during the Chinese invasion of 1962; was Commander of a group of children under Civil Defence during the Chinese invasion of 1962; was Sangh Vistarak in Khagaul (Patna), 1968; was Chief Instructor, Rajendra Nagar Evening Shakha, Patna; Patna Mahanagar Evening Karyavaha; District Physical Head, Patna; Pracharak, R.S.S.; received the third year training of RSS; B.J.P.: National Secretary, B.J.P., 1995; National Vice-President, B.J.P., 2004; In charge, West Bengal, 2004; Bihar State President, B.J.P., 2005; National Executive, B.J.P. from 1996 onwards till now A.B.V.P.: Full time worker Vidyarthi Parishad, 1977-86, All India General Secretary, A.B.V.P,1983-86; Bihar Pradesh Mantri, Pradesh Sangthan Mantri, A.B.V.P., Kshetriya Sangthan Mantri, Uttar Pradesh and Bihar, A.B.V.P. Exposure of Scam : Filed PIL in Patna High Court for court monitored CBI inquiry of the Famous Fodder Scam which led to arrest and resignation of Shri Lalu Prasad Yadav then CM of Bihar; filed PIL in Patna High Court for CBI Inquiry in famous BITUMAN Scam which led to arrest and resignation of Iliyas Hussain then PWD Minister; exposed illgotten property amassed by Lalu Yadav and his family members by holding 43 Press Conferences with documents, leading to the downfall of the JDU-RJD Government in Bihar in 2017"
2496,No,,,Kabbadi and gardening,Navratri celebrations,"General Secretary, Bharatiya Janata Yuva Morcha (B.J.Y.M.), Deesa Taluka, 1990-1996; District President, Banaskantha Distt., B.J.Y.M., 1996-1998; State Treasurer, B.J.Y.M., Gujarat State, 1998-2000; District General Secretary, B.J.P., Banaskantha Distt., 2000-2011; Convenor, Investor Cell, B.J.P., Banaskantha Distt., 2011-2013; State President, O.B.C. Morcha, B.J.P., Gujarat, 2013-2021"
2497,No,"U.K., U.S.A., U.A.E., Canada, Hong Kong, Singapore, South Africa, Sri Lanka, Malaysia and Kenya",,Cricket and volleyball,"President, Porbandar Brahma Samaj; Vice President, Gujarat Brahma Samaj",
2498,No,"Widely travelled; accompanied the Prime Minister, Dr. Manmohan Singh to U.S.A. and Russia, as a member of the Media delegation team; Iraq, to cover the news of US-Iraq war and was the first journalist from India to reach Baghdad; Pakistan, to cover the general elections; Nepal, to cover the general elections soon after the death of King Birendra; U.K., Germany, South Africa, Switzerland, Singapore, Malaysia, Thailand, Syria, U.A.E., Kuwait, Qatar, Sultanate of Oman, Bahrain, Egypt, etc.","In Malayalam, (i) Chillujalakakkoottil, 2015, (ii) Innocent Samsarikkunnu, 2015, (iii) Malayalathinte Manavikatha, 2012, (iv) Sthreeparvam, 2009 and (v) Marayillathe, 2006","Member, Press Club of India; badminton","Writing; hosted several television programms - Question Time, Cross Fire, Nammal Thamil, JB Junction, Njan Malayalee, Votograph, etc; acted in a couple of Malayalam movies including a hero role; recipient of, (i) Journalism Education Award from Goenka Foundation for research on ""The Impact of Globalization in Print Media"" and (ii) Kerala State Award for Best Anchor and Presenter during three years; numerous other television journalist/presenter awards","First rank holder and recipient of Gold medal in Master's Degree; was University Union Councillor, Sree Kerala Varma College, Thrissur, Kerala; started career as a journalist in 1987 at Kannur, Kerala and thereafter in New Delhi; Journalist in Delhi from 1988 to 2003; Managing Director and Chief Editor, Malayalam Communications Ltd. (Kairali T.V.); Former Business Head, Asianet Communications; Director, (i) Indian Broadcasting & Digital Foundation (since 2018) and (ii) Kerala Television Federation; contributed to regional and national publications; covered Indian Parliament news for more than a decade; Journalist, Central Hall and long and distinguished Pass holder; covered important events like Babri Masjid demolition, Gujarat riots, Gujarat earthquake, general elections, etc."
2499,No,"Was part of the Indian delegation in number of international conferences and seminars in different countries and delivered/invited lectures in many international events; Visited, South Africa and Ecuador, to attend international conferences on youth and students; Philippines and Sri Lanka, to attend Cuban solidarity conference; China, to attend International seminar on development and poverty alleviation; Oman, for a Special talk on 'The life and works of Sree Narayana Guru, and Renaissance’; U.A.E. and Saudi Arabia to attend international conferences and seminars","(i) Peasants, Media, Literature Agrarian Problems in Kerala: Role of the Media and Literature (1934-1971), (ii) Nilavilikalilodungathathe, 2003 (Malayalam) and (iii) Indian Vidhyabhyasam (Malayalam)",,First rank holder and Gold medalist in Bachelor of Arts in History from Kannur University; has written an article ‘Neoliberal Hegemony in Education: Higher Education Policies in India' (IJSSR Vol.18); frequently writes on the national and international polity in different journals as well as other publications,"Chairman, Kannur University Union, 2002-2003; National President, Students' Federation of India (SFI), 2012 - 2016; Joint Secretary, All India Agricultural Workers' Union (AIAWU); State Committee Member, Communist Party of India (Marxist), Kerala; Convener, Academic Committee, Seminar on Higher Education Challenges and Prospects, Kannur University, Kerala; Acting Chairman and Convener, Academic Committee, Young Scholars Congress, Thiruvananthapuram; Member, (i) Centre for South Indian Studies, (ii) Indian History Congress and (iii) Editorial Board, Marxist Samvadam, Malayalam quarterly Journal, Thiruvananthapuram; Chairman, People's Mission for Social Development; Editor, (i) Researcher, research journal, Thiruvananthapuram, (ii) Indian Researcher, research journal, New Delhi, (iii) Student Struggle, monthly, New Delhi, (iv) Student, Malayalam monthly, Thiruvananthapuram, and (v) Chatra Sangharsh, monthly, New Delhi; Manager, Student, Malayalam monthly, Thiruvananthapuram"
2500,No,"U.S.A., U.K., Europe, Russia, South-east Asia, Pakistan, Kenya, Tanzania, Mexico, Australia and Cuba",,Yoga and swimming,"President, Global Sindhi Council","Member, Gray’s Inn, London, U.K."
2501,No,"Led Indian delegation to UN bodies, i.e, UNESCO, UNIDO, World Heritage Committee and also to global forums like Shanghai Cooperation Organization and ASEM; Presided over International Conferences and Meetings of Asia Pacific Broadcasting Union (as CEO, Prasar Bharati) at Seoul (South Korea), Macau, Istanbul (Turkey), Fiji; delivered academic lectures at foreign universities, like Heidelberg, Bonn, Auckland, Wellington, Ljubljana, Budapest, Brasilia, Melbourne, Dushanbe, etc.","(i) The Construction of the Hindu Identity in Medieval Western Bengal: The Role of Popular Cults, 2005, historian Tapan Raichudhuri of Oxford University has commended it ‘for his exceptional analytical power and depth of knowledge in diverse fields’; and (ii) Festivals of Bengal (in Bengali as Tero Parbaner Itikatha, 2022); has been actively involved in research on the intersection of politics and religion.","President, Children's Little Theatre, Kolkata; Vice-President, the Indian Lawn Tennis Association, 2010-2013",Has contributed several articles to academic publications and writes regularly for newspapers; most of the articles are available on his website https://www.jawharsircar.com and on the internet under academia.edu,"A retired civil servant with over four decades of experience; retired as India’s longest serving Culture Secretary; served in the Indian Administration Service from 13 July 1975 to 22 February 2012; held different posts in West Bengal including Secretary in Charge of Industries, Education etc. and Secretary, Ministry of Culture, Govt. of India; has been described as ‘the most distinguished and knowledgeable civil servant’ by the then Prime Minister, Dr. Manmohan Singh; has represented India at the UN bodies like UNESCO, UNIDO and World Heritage Committee several times; was appointed as the CEO of India’s public service broadcaster, Prasar Bharati, to supervise All India Radio and Doordarshan, that had almost 500 radio and TV stations; resigned in November 2016; has, since then, been active in civil society movements; was Chairman, Board of Governors of the Centre for Studies in Social Sciences, Kolkata, one of India’s premier research and teaching institutes; awarded Silver Medal by The British Museum; conferred Biman Behari Memorial Award for history and politics by the Asiatic Society of Kolkata; has had the honour of delivering the First Jamshed Bhaba Memorial Lecture at the National Centre for the Performing Arts in Mumbai"
2502,No,"U.K., U.A.E., Singapore, China and U.S.A.","(i) The Dravidian Economics, 2016, (ii) Idhu Kadhal Madham, 2017 and (iii) Stalin’s Bus, 2021",Tennis and shuttle player; reading,Organising social media groups; interested in Tamil literature; pioneer in Tamil computing,
2503,No,,,"Cricket, football and badminton",Interacting with learned people to know important things in life and expansion of friendship,"President (i) All Assam Students’ Union, 1992-1999 and (ii) BJP Assam Pradesh, 1994-2004; Chairman, North East Students Organisation, 1994-2004; Member, National Executive, B.J.P., 2011; State Spokesperson and General Secretary, B.J.P., Assam, 2012; State President, B.J.P., Assam Pradesh Committee, 2012 and 2015; lead in repealing of the IMDT Act which was finally scrapped by the Supreme Court of India in July 2005"
2504,No,,,"Table tennis, badminton and yoga",,"President, (i) A.B.V.P. Unit, Dr. Amedkar Government College, 1997-2001 and (ii) B.J.P. State SC Morcha Tamil Nadu, 2009-2014; held various positions in Dharma Rakshana Samiti, Chennai, 2001-2005; Vice-President, B.J.P. State SC Morcha, Tamil Nadu, 2006-2009; National Secretary, B.J.P. SC Morcha, 2014-2017; State President, B.J.P.,Tamil Nadu, 2020-July 2021"
2505,No,"Rome (Italy), France, Malaysia, New Zealand, Spain, Canada, U.K. and U.A.E.",Latchiya Thandhai,,"Interested in publishing medical related papers; Laparoscopic Surgeon; presented a paper on 'Serum B-HCG as a predictor of VIH in Pregnancy' at Dr. MGR Medical University, Tamil Nadu; presented a paper on 'Multi-Organ Dysfunction Failure – As a multidisciplinary approach' at Dr. MGR Medical University, Tamil Nadu; management of high risk pregnancies",
2506,No,,,,,
2507,No,"China, France, Italy, Malaysia, Singapore, South Africa, Switzerland, Thailand, U.K., U.S.A, Spain, Bangladesh, Russia and Greece",,"Cricket, golf and badminton; Member, Constitution Club, Delhi",,
2508,No,,,"President, (i) Pondicherry Volleyball Association, affiliated to Volleyball Federation of India and (ii) Narendra Sports Club","Established a school in the name of Swami Vivekananda in the year 1986 with a mission to provide knowledge, intelligence, spirituality and leadership qualities to every student; the school is now considered to be one among the top 3 schools in Puducherry, with all infrastructure sprawling over an area of 4 acres and a total strength of 4500 students; also started Vivekananda School in the year 2013 and the Vivekananda Vidyalaya in 2017; established the Vivekananda College of Education and Vivekananda Teacher Training Institute in the year 2005; Member, Junior Chamber International, a worldwide federation of young leaders and entrepreneurs, joined there as a grass root member in the year 1989 and elevated to the level of Zonal President in the year 1997; President, Swami Vivekananda’s 150th Birth Anniversary Celebration Committee, Pondicherry; Treasurer, Puducherry Kamban Kazhagam and sponsor for one day programme every year; founded the Vivekanandha Yoga club in the year 1999 and continued as the President since 1999; the club has a membership of 350 and about 100 members practice yoga in the centre every day; served as the Member of the Selection Committee for the Puducherry Kalaimamani awardees","State Treasurer, B.J.P., Puducherry"
2509,No,"Visited, Lisbon (Portugal), (i) represented India at Advisory Committee on protecting of SEAS (ACOPS) at the extension of Rio Summit, 1993 and (ii) led Goan Industrial Delegation, 1995; Geneva, led the Indian Delegation at International Labour Organisation (ILO), United Nations, 1995; Miami (U.S.A.), led Goan Industrial Delgation at International Industrial Convention at U.S.A., 1997; Canada, Italy, Australia, France, New Zealand, Spain, etc.","(i) Employment Policy, 1991, (ii) Housing Policy, 1993, (iii) My Goa-An Autobiography, 1994, (iv) Goa Black on White, 1994, (v) Information Technology Policy, 1999 and (vi) Bio-Technology Policy, 1999","(i) Navelim Sporting Club, Navelim, Salcete, Goa (ii) Salcete Football Club, Margao, Salcete, Goa and (iii) Rosary Academic Centre, Navelim, Salcete, Goa",,"President, Zuari Agro Chemicals Ltd. Employees Union, 1977; led, (i) the campaign for statehood, (ii) campaign for official language, (Konkani), (iii) campaign for the protection of environment of Goa, (iv) campaign for the welfare for Goa backward classes and (v) campaign for the promotion of quality of education"
2510,No,"U.A.E., U.K., Germany, Switzerland, France, Belgium and Mongolia",,Writing and travelling,"Former Chairman, Jyoti Chitraban, an Assam Government Cultural Organisation, 2017-2021; Chief Editor, ‘Maya’, a monthly magazine, 1998 - 2005; Editor, ‘Sa Re Ga Ma’, a cultural monthly, 2000 - 2005; produced more than 20 short films and documentaries, and more than 100 folk and contemporary songs; appeared in feature films as an actor, including‘Mon Jai’, Rajat Kamal award winning Assamese film; writer-producer and anchor of television shows","Political Secretary (Honorary) to Chief Minister, Assam; former Member Secretary, State Level Advisory Committee (SLAC) for Students and Youth Welfare, Government of Assam; Spokesperson, B.J.P., Assam Unit since 2014; also working as a publicity consultant"
2511,No,Singapore,,"Badminton, football and chess",Associated with students' organization; social works for the development of weaker sections; reading books,"Working President, U.P.P.L. since 2020, President, (i) All Bodo Students Union (ABSU): 2005-2009, (ii) Bongaigaon District Committee, ABSU, 2001-2003, (iii) SBCI (Society for Bodo Cultural Institute), Bongaigaon since 2015; Vice-President, U.P.P.L. 2015-2022; Chairman, (i) AMDC (Assam Mineral Development Corporation), 18 Nov. 2021 - 16 March 2022, (ii) Kajalgaon Municipality Board 7 June-17 Nov., 2021, (iii) TCLCC 15 No. Kajalgaon Constituency, BTC (iv) UNBT (Upendra Nath Brahma Trust), 2013-2015; General Secretary, (i) ABSU, 2003-2005 (ii) Kokrajhar District Committee (ABSU), 1999-2001; Adviser, ABSU, 2009-2015; Chief Convener, PCDR (People's Coordination for Democratic Right), March 2015-August 2015"
2512,No,,"Published three books, one journal and fifty three research articles; guided seventeen Ph.D. thesis, forty nine M.Phil. thesis and fifty four Master of Arts in Business Economics (M.A.B.E.) students project reports; completed thirty eight major research projects","Playing badminton, football, volleyball and listening to music, etc.","Organised, participated, attended, chaired several political and academic meetings, Speaker/Chief Guest/Special Guest/Guest of Honour at several such meetings","Former State Vice President, B.J.P., 2010-2013; State President, B.J.P. SC Morcha, 2013-2017; State Convenor, B.J.P. SC Morcha (two times); State Prabhari, B.J.P. SC Morcha, J&K and Punjab; Member, National Council, B.J.P., 2010-2018; was associated and worked for A.B.V.P. for 17 years in different capacities/responsibilities; RSS first year educated and associated with RSS during school days, 1984; elected representative of several organizations; National General Secretary, Guru Ravidass Vishwa Mahapeeth; Member, National Council, Swadeshi Jagran Manch (S.J.M.); Professor, Deptt. of Economics, Himachal Pradesh University (H.P.U.), Shimla, Jan. 2009 to March 2022; Chairman, Department of Economics, H.P.U., Shimla, May 2010 - June 2012 and June 2016 - June 2018; President, Economic Association of Himachal Pradesh (EAHP), May 2010 - June 2012 and June 2016 - June 2018; Director, (i) Population Research Centre (PRC) H.P.U., Shimla, July 2008 - May 2013 and April 2019 - March 2022, (ii) Cost of Cultivation (CCS) H.P.U., Shimla, Aug. 2008 - May 2013 and (iii) Child line India Foundation Scheme (CIF), Mumbai, H.P.U., Shimla, Aug. 2008 - May 2012; Assistant Professor, Associate Professor and Professor, Department of Economics, Himachal Pradesh University, Shimla, July 1993 - March 2022; Member of different Academic and Administrative Bodies at the various State and Central Government Departments and Institutions"
2513,No,"U.K. and Russia; was in charge of coordinating the Indian Youth Congress delegation to Sochi, Russia to attend the International Festival for Youth and Students, 2017 where she addressed one of the sessions on democracy",,"Table tennis and badminton, passionate about football, driving and swimming",Social worker,"President, Kerala Pradesh Mahila Congress; Member, All India Congress Committee; Former Secretary, Kerala Pradesh Congress Committee; Former National Secretary, Indian Youth Congress, Former Vice Chairperson, Aluva Municipality; as Municipal Councillor of Aluva, 2010, played an important and active role in the positive transformation of Aluva Municipality; was instrumental in the signing of MOU between Aluva Municipality and W.S. Atkins International, U.K."
2514,No,"Russia, U.A.E., Saudi Arabia, Oman, Kuwait and Bahrain",,Football and cricket; watching Indian cricket team and Argentina's football matches,Reading socio political and humanitarian literature; movie reviewing,
2515,No,"(i) South Africa and Ecuador, to attend the World Youth Festival, 2010 and 2013, (ii) Vietnam, Portugal and Spain, to attend the WFDY meeting, 2011 ad 2013, (iii) China, to attend the Young Political Leader's Delegation, 2011 and (iv) Turkey, to attend the Communist Parties' international meeting, 2019; Venezuela, Sri Lanka and Russia",,"Chess, volleyball and football; participated in many chess tournaments",Published more than 100 articles related to various contemporary socio-political issues in Malayalam dailies; published more than 20 articles in New Age (weekly),"State President and Secretary, All India Students' Federation (AISF); All India General-Secretary, AIYF; District Secretary, Kannur, AISF, AIYF and C.P.I.; Member, Communist Party of India for the last 33 years (since 1989); Syndicate Member, Kannur University, 2016-2022"
2516,No,Nepal and Egypt,,,"Chief Functionary, Walo Organisation, Mon, District, 2005 - 2020; implemented the TI (Targeted Intervention) project at Aboi for injecting drug users and other vulnerable population; also implemented ‘Link Workers Scheme’ in Mon district for the prevention of HIV/AIDS; as Member of the Scientific Advisory Committee, assisted KVK Mon in their activity,in Mon District; successfully implemented AIS (Alternative Innovative Schooling) SSA in admitting 1650 dropout/never enrolled children aged 6-14 years into formal schooling in Mon EBRC and Aboi EBRC covering 37 villages; initiated opening of libraries for children in all the villages of Mon District with the support of PRATHAM and conducted ASER survey in the district; initiated the process of documenting Konyak Cultural heritage, with active support of CCK, Ambedkar University, Delhi and Anthropological Society of India in Mon District; selected as Member of State Level Selection Committee for Juvenile Justice Board and Child Welfare Committee, Nagaland, 2018; President, (i) Eastern Nagaland Women Organisation, Kohima Unit, 2019-2020 and (ii) SPOAA, a society registered under the aegis of ENWO, ENPO, ENSF, the three apex community organizations of eastern Nagaland","Vice-President, Tuensang Mon Students’ Union, Delhi, 2002-2003; Women Coordinator, Konyak Students’ Union, 2006-09; Member, Board of Directors, Nagaland State Co-operative Bank, 2008-10; Advisor, Konyak Students’ Union, 2009-11; Member, Consortia Advisory Committee for NAIP, ICAR (Northeast) from Nagaland, 2009-14; Vice-President, Konyak Nyupuh Sheko Khong, 2012-14; Member, Child Welfare Committee, Mon District, 2013-15; Council Member, Sustainable Development Forum of Nagaland since 2016; joined B.J.P. in 2017; served as State General Secretary, B.J.P. Mahila Morcha, Nagaland Unit; State President, B.J.P. Mahila Morcha, Nagaland since 2020"
2517,No,"Egypt, Hong Kong, Thailand and Dubai (U.A.E.)",Articles in newspaper and journals,"Was an athlete and badminton player; represented at National and University level in both the events and was awarded medals/ certificates; President, Tripura Cricket Association; was Secretary, Tripura Sports Council; best N.C.C. Cadet (Junior division boys), Tripura, 1970",Always remained in the forefront to associate himself with social welfare and sports activities clubs right from the school days; has a natural inclination towards scientific temperament which made him to adopt medical profession as career and get a sense of satisfaction by extending relief to the suffering people,"Life Member, (i) Association of Oral and Maxillofacial Surgeons and (ii) Indian Dental Association; Member, Indian Dental Council; President, Tripura Pradesh B.J.P.; recipient of, (i) Lifetime achievement award by the Indian Dental Association and (ii) Lifetime achievement award in Dental Surgery by the Government of Tripura; Professor and Head of the Department of Dental Surgery, Tripura Medical College and Dr. B.R.A.M. Teaching Hospital, Hapania, Agartala, (Tripura)"
2518,No,"U.K., U.S.A., U.A.E., Canada, Turkey, Germany, France, the Netherlands, Norway, Singapore, Maldives, Thailand, Mauritius, Egypt, Greece, Sri Lanka, Schengen and Italy",,,,
2519,No,"Singapore, Denmark, Finland, Sweden, Russia, Thailand, Spain, Italy, Indonesia and Australia",,"Has been Secretary, Sutlej Club, Ludhiana, a prime institution in Punjab for two consecutive terms","Established a charitable trust under the name of ‘Krishna Pran Breast Cancer Charitable Trust’; till date more that 160 cancer patients have been treated free of cost under this trust; a cancer patient once adopted by the Trust is treated as long as treatment is required in his/her life; also held many camps in rural and urban areas; Member, (i) Governing Board, Dayanand Medical College and Hospital, Ludhiana, and other social organizations and (ii) Ved Mandir Trust, Daresi, Ludhiana; was Member, Apex Council of Punjab Cricket Association; special interest in philanthropy, travel and sports",
2520,No,Extensively travelled,,"Member, Punjab Cricket Association; an international cricketer who has played 103 Test matches, 236 One day Internationals (ODIs) and several T20, domestic and first class matches; was instrumental in India winning the inaugural T20 World Cup and ODI World Cup in 2011; first Indian off-spinner to take 400 wickets; first Indian to take a test hat-trick; most successful off-spinner of India (417 wickets); won several matches and series for India; awarded, (i) Arjuna Award in 2003 and (ii) Padma Shri in 2009; won several Man of the Match Awards",Associated with several philanthropic organizations,
2521,No,"Italy, France, Czech Republic, Spain, U.K. and U.S.A.",,Cricket and badminton,"Ex. Professor, IIT-Delhi; professionally trained as scientist; published around 100 scientific research articles in international journals with 11348 citation (h-index 32)",
2522,No,"U.K., China, Hong Kong, Macau, Australia, Malaysia, U.S.A., Sweden, The Netherlands, Norway, France, Italy, Myanmar, Singapore, Israel, U.A.E., Thailand, Switzerland, Turkey, Maldives and Belgium",,"Keen interest in playing badminton, cricket; participates in debates and public speaking; beyond work, spends time/indulges in reading books, travelling, discovering new places, culture and food",Started a 24x7 helpline in Rajinder Nagar constituency as a direct way to connect to the MLA; this helpline turned out to be a lifeline for not just the residents of the area but entire Delhi which resolved hundreds of civic issues of residents on real time basis during the day,"His journey in I.A.C. (India Against Corruption) /A.A.P. started way back in 2011 at the age of 23 while working with teams from grassroots, field experts and academics to compile their findings and draft, what became A.A.P.’s manifesto for Delhi elections; was involved in drafting of budget of Delhi Govt.; as advisor, worked briefly and closely with the Finance Minister; keen interest in child and women centric empowerment practices; during his tenure as an MLA, took several endeavours in governance and administrative practice to safeguard the interests of women, children and the youth; runs Janta Durbar for the citizens to build and deliver real time solutions to redress their grievances; around 77000 such complaints have been brought to books under his guidance and leadership; has been I.V.L.P. (International Visitor Leadership Programme) fellow with interest and understanding in finance and wealth management; awarded the Most Stylish Politician by India Fashion Awards; represented India at the World Economic Forum-Young global leaders to provide effective development by means of sustainable changes; Chairman, Rogi Kalyan Samiti, Lok Nayak Hospital, Delhi, Feb. 2021 - March 2022; Received 'India UK Outstanding Achievers Honour' In London in 2023."
