id,srno,committeeName,status,house,Date
260,2541,MPLADS,Member,Rajya Sabha,2024-10-23
261,2541,Industry,Member,Rajya Sabha,2025-09-26
262,2541,Joint Committee on Offices of Profit,Member,Lok Sabha,2024-10-08
263,2542,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
264,2543,Rules,Member,Rajya Sabha,2025-11-10
265,2543,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
266,2544,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
267,2544,Commerce,Member,Rajya Sabha,2025-09-26
268,2544,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
269,2545,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
270,2546,Commerce,Member,Rajya Sabha,2025-09-26
271,2546,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
272,2547,Ethics,Chairman,Rajya Sabha,2024-10-10
273,2547,Rules,Member,Rajya Sabha,2024-12-31
274,2547,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-09-26
275,2547,General Purposes Committee,Member,Rajya Sabha,2025-11-13
276,2547,Joint Committee on Offices of Profit,Member,Lok Sabha,2024-10-08
277,2547,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
278,2547,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
279,2547,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
280,2548,"Agriculture, Animal Husbandry and Food Processing",Member,Lok Sabha,2025-09-26
281,2548,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
282,2549,House Committee,Member,Rajya Sabha,2024-04-02
283,2549,Rules,Member,Rajya Sabha,2024-12-31
284,2549,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
285,2549,Railways,Member,Lok Sabha,2025-09-26
286,2553,Government Assurances,Member,Rajya Sabha,2024-10-22
287,2553,Finance,Member,Lok Sabha,2025-09-26
288,2554,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
289,2555,MPLADS,Member,Rajya Sabha,2024-10-23
290,2555,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
291,2555,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
292,2556,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
293,2556,Home Affairs,Chairman,Rajya Sabha,2025-09-26
294,2556,General Purposes Committee,Member,Rajya Sabha,2025-11-13
295,2556,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
296,2556,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
297,2557,Rules,Member,Rajya Sabha,2024-12-31
